"scheme","offered_tps","sent","ok","rejected_or_failed","mvcc_or_fail","completion_tps","client_avg_latency_ms","queue_avg_ms","fabric_avg_ms","total_avg_ms","source","note"
"Native Fabric","50","","2749","351","351","45.82","170","","","","01_native_fabric/report.html,native-100clients-.log","Native uses Caliper 60s; completion_tps=Succ/60; Caliper throughput differs"
"Native Fabric","100","","5047","1018","1018","84.12","110","","","","01_native_fabric/report.html,native-100clients-.log","Native uses Caliper 60s; completion_tps=Succ/60; Caliper throughput differs"
"Native Fabric","200","","7292","4808","4808","121.53","160","","","","01_native_fabric/report.html,native-100clients-.log","Native uses Caliper 60s; completion_tps=Succ/60; Caliper throughput differs"
"Native Fabric","300","","4965","13135","13135","82.75","310","","","","01_native_fabric/report.html,native-100clients-.log","Native uses Caliper 60s; completion_tps=Succ/60; Caliper throughput differs"
"Native Fabric","500","","112","29988","29988","1.87","10500","","","","01_native_fabric/report.html,native-100clients-.log","Native uses Caliper 60s; completion_tps=Succ/60; Caliper throughput differs"
"Traditional Lock","10","200","200","0","0","8.65","1068.18","443.14","622","1065.14","02_traditional_lock\raw","External scheduler uses HTTP load generator 20s"
"Traditional Lock","20","400","400","0","0","16.81","562.34","190.12","368.75","558.88","02_traditional_lock\raw","External scheduler uses HTTP load generator 20s"
"Traditional Lock","30","600","600","0","0","24.90","404.17","131.47","267.24","398.71","02_traditional_lock\raw","External scheduler uses HTTP load generator 20s"
"Traditional Lock","50","1000","1000","0","0","49.97","288.80","126.09","157.33","283.42","02_traditional_lock\raw","External scheduler uses HTTP load generator 20s"
"Traditional Lock","100","2000","2000","0","0","99.90","361.40","247.01","102.82","349.83","02_traditional_lock\raw","External scheduler uses HTTP load generator 20s"
"Traditional Lock","200","4000","3391","609","0","160.41","1954.07","2174.01","102.76","2276.76","02_traditional_lock\raw","External scheduler uses HTTP load generator 20s"
"Traditional Lock","300","6000","3957","2043","0","241.16","1692.95","2470.22","90.17","2560.39","02_traditional_lock\raw","External scheduler uses HTTP load generator 20s"
"Traditional Lock","500","10000","3916","6084","0","367.51","1127.81","2768.09","99.99","2868.08","02_traditional_lock\raw","External scheduler uses HTTP load generator 20s"
"VLL-only","5","100","100","0","0","4.26","1887.33","478.53","1405.95","1884.48","03_vll_only\raw","External scheduler uses HTTP load generator 20s"
"VLL-only","10","200","200","0","0","10.02","863.14","366.72","493.40","860.13","03_vll_only\raw","External scheduler uses HTTP load generator 20s"
"VLL-only","30","600","600","0","0","25.10","372.47","121.92","246.40","368.32","03_vll_only\raw","External scheduler uses HTTP load generator 20s"
"VLL-only","50","1000","1000","0","0","49.97","259.85","100.5","154.37","254.87","03_vll_only\raw","External scheduler uses HTTP load generator 20s"
"VLL-only","100","2000","2000","0","0","99.91","325.49","223.49","94.63","318.12","03_vll_only\raw","External scheduler uses HTTP load generator 20s"
"VLL-only","200","4000","3801","199","0","162.88","1675.93","1662.14","88.51","1750.65","03_vll_only\raw","External scheduler uses HTTP load generator 20s"
"VLL-only","300","6000","3786","2214","0","243.63","1678.17","2543.11","92.93","2636.04","03_vll_only\raw","External scheduler uses HTTP load generator 20s"
"VLL-only","500","10000","4176","5824","0","374.77","1065.64","2452.04","88.72","2540.76","03_vll_only\raw","External scheduler uses HTTP load generator 20s"
"VLL+SCD","5","100","100","0","0","3.82","1921.91","463.3","1456.71","1920.01","04_vll_scd\raw","External scheduler uses HTTP load generator 20s"
"VLL+SCD","10","200","200","0","0","8.53","1015.57","357.10","652.22","1009.32","04_vll_scd\raw","External scheduler uses HTTP load generator 20s"
"VLL+SCD","20","400","400","0","0","16.69","552.89","204.99","345.86","550.85","04_vll_scd\raw","External scheduler uses HTTP load generator 20s"
"VLL+SCD","30","600","600","0","0","25.15","396.78","114.48","276.17","390.65","04_vll_scd\raw","External scheduler uses HTTP load generator 20s"
"VLL+SCD","50","1000","1000","0","0","41.73","241.96","72.00","168.43","240.44","04_vll_scd\raw","External scheduler uses HTTP load generator 20s"
"VLL+SCD","100","2000","2000","0","0","99.91","112.11","28.62","81.17","109.79","04_vll_scd\raw","External scheduler uses HTTP load generator 20s"
"VLL+SCD","200","4000","3716","284","0","137.45","1533.48","1534.41","101.13","1635.53","04_vll_scd\raw","External scheduler uses HTTP load generator 20s"
"VLL+SCD","300","6000","3621","2379","0","224.29","1682.78","2656.43","98.51","2754.94","04_vll_scd\raw","External scheduler uses HTTP load generator 20s"
"VLL+SCD","500","10000","3626","6374","0","375.56","1020.24","2632.39","92.48","2724.87","04_vll_scd\raw","External scheduler uses HTTP load generator 20s"
