"workload","rate","baseline","committedPct","goodputPct","clientLatencyReductionPct","committedLatencyReductionPct"
"sc-w1","300","traditional-lock","101.235026464853","165.132113901208","65.2698226578512","87.8982459805042"
"sc-w1","300","native","-9.12293208646972","51.5682702582506","85.3704998003332","-79.1851890309321"
"sc-w1","300","ed-mvcc","-2.7813915930196","-5.24628074258607","-148.052544607581","-256.270234291322"
"sc-w1","500","traditional-lock","104.43120461739","157.168415210114","52.7922246427517","87.5623077207743"
"sc-w1","500","native","-45.9399579040656","72.4066210242924","96.2687870632235","-134.971767362198"
"sc-w1","500","ed-mvcc","-7.05942102590148","-9.30946294780269","-46.3307085894787","-46.4795142009656"
"sc-w2","300","traditional-lock","132.855626326964","1881.89767326381","92.8207425813953","97.1804522929575"
"sc-w2","300","native","70.91985818366","118.785149706836","84.6519458439703","-100.714575859526"
"sc-w2","300","ed-mvcc","39.1285043765064","12.9171995274115","-1168.64136107534","-819.237900216667"
"sc-w2","500","traditional-lock","129.181721572795","1887.09135889938","92.1736730985683","97.0562530361954"
"sc-w2","500","native","-17.1176018447348","98.4784795737565","97.5231907540604","-244.909762027121"
"sc-w2","500","ed-mvcc","12.7781409334554","-9.59652534721538","-571.593903136157","-609.326853304177"
"sc-w3","300","traditional-lock","234.985235588651","191.523375019572","89.190957465592","88.8002642373937"
"sc-w3","300","native","52.0955989507432","93.1706034339187","94.9555397496839","-7.19742816185971"
"sc-w3","300","ed-mvcc","49.8420720151611","9.20809626789623","-633.526672200828","-278.517316933515"
"sc-w3","500","traditional-lock","332.956616842873","279.566600564338","84.2634968747827","86.7758781620394"
"sc-w3","500","native","5.3584102200142","125.226014541387","98.7291677303814","-88.9069159708539"
"sc-w3","500","ed-mvcc","32.1954658454232","-1.65016275758716","-597.351377439719","-403.139873444368"
