experiment,scenario,method,hot,rate,repeat,sent,committed,admission_rejected,queue_timeout,client_error,completion_tps,latency_ms,latency_max_ms,mvcc_invalid,queue_wait_ms,fabric_ms,conflict_blocked,scd_selected,scd_edges,hot_key_rejected,ttl_expired
2,contention,pa-vscd,20,300,1,6000,281,5719,0,0,246.2346616325358,576.4846666666666,9963.0,0,1208.0640569395018,732.6654804270463,88797,281,148,4379,419
2,contention,pa-vscd,20,300,2,6000,305,5695,0,0,235.06366307541626,566.2525,7011.0,0,1478.3049180327869,732.6590163934426,115131,305,153,4054,457
2,contention,pa-vscd,20,300,3,6000,420,5580,0,0,207.65556863016545,574.6558333333334,9608.0,0,1248.0714285714287,580.8190476190476,117411,420,142,4230,465
2,contention,pa-vscd,20,300,4,6000,127,5873,0,0,234.52157598499062,636.657,8885.0,0,2357.6299212598424,1769.4409448818897,76144,127,128,4242,553
2,contention,pa-vscd,20,300,5,6000,784,5216,0,0,234.22860712054967,543.6985,7923.0,0,1382.8265306122448,313.0140306122449,178345,784,243,4371,333
2,contention,pa-vscd,20,300,6,6000,129,5871,0,0,248.29298572315332,524.5636666666667,7077.0,0,2577.2868217054265,1516.8682170542636,65793,129,133,4189,417
2,contention,pa-vscd,20,300,7,6000,116,5884,0,0,236.9574661348288,634.8563333333333,6940.0,0,2172.7327586206898,1896.5862068965516,70179,116,98,4069,532
2,contention,pa-vscd,20,300,8,6000,134,5865,0,1,237.50148438427738,627.6273333333334,7509.0,0,2476.776119402985,1589.2313432835822,97463,134,207,3860,541
2,contention,pa-vscd,20,300,9,6000,137,5863,0,0,236.29489603024575,619.9133333333333,8766.0,0,2612.2554744525546,1625.7372262773722,83314,137,205,3919,508
2,contention,pa-vscd,20,300,10,6000,125,5875,0,0,235.90469450342061,611.9281666666667,8706.0,0,2199.272,1735.784,67912,125,169,4062,522
2,contention,pa-vscd,50,300,1,6000,3587,2413,0,0,208.0804577770071,614.7098333333333,9205.0,0,696.2734875940897,110.50543629774185,1116251,3587,1868,295,38
2,contention,pa-vscd,50,300,2,6000,3661,2339,0,0,226.53477308766895,589.5976666666667,7074.0,0,654.4446872439224,107.4405900027315,1165681,3661,1823,280,115
2,contention,pa-vscd,50,300,3,6000,3653,2343,0,4,226.43218356102346,566.3676666666667,6957.0,0,704.7653983027649,107.92061319463454,1141310,3653,2066,284,55
2,contention,pa-vscd,50,300,4,6000,4055,1945,0,0,236.29489603024575,536.219,9825.0,0,620.2187422934649,94.20542540073983,1271444,4055,2155,429,43
2,contention,pa-vscd,50,300,5,6000,4012,1988,0,0,227.3588480485032,576.67,7030.0,0,628.3227816550349,99.96984047856431,1244311,4012,2206,332,78
2,contention,pa-vscd,50,300,6,6000,3755,2245,0,0,212.35931195582924,588.2435,7784.0,0,712.8082556591212,110.53022636484687,1183714,3755,1947,426,44
2,contention,pa-vscd,50,300,7,6000,3742,2258,0,0,224.68544038346315,537.4553333333333,7034.0,0,690.4609834313202,110.50908605024051,1166707,3742,2089,396,28
2,contention,pa-vscd,50,300,8,6000,3784,2216,0,0,207.41867459466934,603.7811666666666,9630.0,0,662.4587737843552,108.93181818181819,1189134,3784,1914,330,100
2,contention,pa-vscd,50,300,9,6000,4286,1714,0,0,206.74683849626132,570.7996666666667,9085.0,0,586.5212319178721,99.04573028464769,1343981,4286,2275,361,78
2,contention,pa-vscd,50,300,10,6000,3812,2188,0,0,226.1420171867933,550.7665,7018.0,0,673.8551941238195,107.10991605456454,1187053,3812,1904,312,35
2,contention,pa-vscd,100,300,1,6000,4330,1670,0,0,225.7081593499605,590.4805,8054.0,0,524.4108545034642,132.19676674364896,1078361,4330,1688,4,22
2,contention,pa-vscd,100,300,2,6000,4300,1700,0,0,209.16126333403054,689.6945,9173.0,0,535.6888372093023,135.51581395348836,1060861,4300,1752,4,15
2,contention,pa-vscd,100,300,3,6000,4439,1561,0,0,225.12381809995497,573.3093333333334,8138.0,0,519.8661860779455,129.59608019824284,1111331,4439,2040,14,22
2,contention,pa-vscd,100,300,4,6000,4402,1598,0,0,225.51304217093886,660.619,7334.0,0,519.2074057246706,126.64288959563835,1108784,4402,1797,14,20
2,contention,pa-vscd,100,300,5,6000,4433,1567,0,0,225.1322652058084,641.4706666666667,6894.0,0,523.7617866004963,128.83442364087526,1039416,4433,1941,13,14
2,contention,pa-vscd,100,300,6,6000,4399,1601,0,0,225.08159207712797,541.5535,8847.0,0,528.4521482155035,133.75949079336212,1088676,4399,1967,1,12
2,contention,pa-vscd,100,300,7,6000,4981,1019,0,0,224.54249466711576,507.49033333333335,7821.0,0,463.7319815298133,113.96225657498495,1187930,4981,2450,3,9
2,contention,pa-vscd,100,300,8,6000,4930,1070,0,0,205.90960568310513,533.4266666666666,11351.0,0,475.28275862068966,121.82292089249493,1190864,4930,2604,2,20
2,contention,pa-vscd,100,300,9,6000,4793,1207,0,0,212.02911866563008,619.839,9023.0,0,514.4124765282704,130.37366993532234,1142163,4793,2162,0,14
2,contention,pa-vscd,100,300,10,6000,4411,1589,0,0,243.75380865326022,596.181,7238.0,0,514.3525277714804,129.44638403990024,1103311,4411,1985,1,24
2,contention,pa-vscd,200,300,1,6000,4370,1630,0,0,291.3611421356772,558.1721666666666,5202.0,0,487.4693363844394,138.77002288329518,400952,4370,21669,0,4
2,contention,pa-vscd,200,300,2,6000,4840,1160,0,0,228.76315388134816,592.9256666666666,6957.0,0,484.120041322314,138.31611570247935,446707,4840,24363,0,0
2,contention,pa-vscd,200,300,3,6000,4823,1177,0,0,266.1343978709248,507.3546666666667,3807.0,0,446.35911258552767,127.10989010989012,447789,4823,21408,0,0
2,contention,pa-vscd,200,300,4,6000,4368,1632,0,0,230.52983440273562,614.4146666666667,5038.0,0,485.84913003663,154.23626373626374,405360,4368,20727,0,1
2,contention,pa-vscd,200,300,5,6000,4768,1232,0,0,227.6694239963573,731.4626666666667,6344.0,0,508.2376258389262,143.20281040268458,442996,4768,26521,0,1
2,contention,pa-vscd,200,300,6,6000,4395,1605,0,0,243.71420447621756,515.242,5088.0,0,487.51626848691694,141.40113765642775,406387,4395,20749,0,0
2,contention,pa-vscd,200,300,7,6000,4413,1587,0,0,244.140625,611.9895,5009.0,0,485.7622932245638,144.32313618853388,411297,4413,23209,0,0
2,contention,pa-vscd,200,300,8,6000,4383,1617,0,0,243.89252469411812,690.0318333333333,5700.0,0,501.1275382158339,145.87223362993385,410235,4383,22239,0,3
2,contention,pa-vscd,200,300,9,6000,4462,1538,0,0,244.16049483193618,666.6268333333334,5150.0,0,474.43074854325414,142.43836844464366,405409,4462,22676,0,3
2,contention,pa-vscd,200,300,10,6000,4385,1615,0,0,264.6436132674665,666.5973333333334,4980.0,0,502.95370581527936,140.43740022805017,403966,4385,20427,0,0
2,contention,pa-vscd,500,300,1,6000,4323,1677,0,0,259.0226213089276,635.0606666666666,3843.0,0,512.9243580846635,147.54938699976867,234558,4323,45812,0,0
2,contention,pa-vscd,500,300,2,6000,4770,1230,0,0,269.07036189963674,657.8055,3975.0,0,486.69203354297696,140.15073375262054,255406,4770,46772,0,0
2,contention,pa-vscd,500,300,3,6000,4987,1013,0,0,238.29381627546766,535.007,5486.0,0,466.3523160216563,141.13775817124522,269569,4987,51455,0,3
2,contention,pa-vscd,500,300,4,6000,4920,1080,0,0,221.64758034724787,559.3641666666666,6651.0,0,483.79939024390245,144.39654471544716,265243,4920,48880,0,0
2,contention,pa-vscd,500,300,5,6000,4620,1380,0,0,233.3450005833625,647.294,5952.0,0,503.0339826839827,143.51298701298703,251629,4620,47445,0,0
2,contention,pa-vscd,500,300,6,6000,4340,1660,0,0,242.68899405411966,652.0695,6195.0,0,518.5216589861751,145.16082949308756,241105,4340,45705,0,0
2,contention,pa-vscd,500,300,7,6000,4334,1666,0,0,243.3386056697895,651.0328333333333,4706.0,0,495.28287955699125,143.37425011536686,231307,4334,43380,0,0
